"指标名称","肿瘤类型","年","国家的名字","区域","性别","区域","数字","置信下限","置信上限","评论",
"因非传染性疾病过早死亡的概率","","2019","","东地中海区域","总计","","24.53096","16.68678","33.99295","",
"因非传染性疾病过早死亡的概率","","2019","","东地中海区域","男性","","27.10405","18.63257","37.28476","",
"因非传染性疾病过早死亡的概率","","2019","","东地中海区域","女性","","21.80966","14.64945","30.4561","",
"因非传染性疾病过早死亡的概率","","2019","","东南亚区域","总计","","21.61701","15.78293","28.16745","",
"因非传染性疾病过早死亡的概率","","2019","","东南亚区域","男性","","24.61782","18.20861","31.8142","",
"因非传染性疾病过早死亡的概率","","2019","","东南亚区域","女性","","18.50494","13.29057","24.33772","",
"因非传染性疾病过早死亡的概率","","2019","","非洲区域","总计","","20.78935","13.2963","30.26785","",
"因非传染性疾病过早死亡的概率","","2019","","非洲区域","男性","","22.13162","14.24073","32.13338","",
"因非传染性疾病过早死亡的概率","","2019","","非洲区域","女性","","19.60895","12.46911","28.61079","",
"因非传染性疾病过早死亡的概率","","2019","","美洲区域","总计","","14.0427","11.65587","16.85455","",
"因非传染性疾病过早死亡的概率","","2019","","美洲区域","男性","","16.42605","13.82829","19.5248","",
"因非传染性疾病过早死亡的概率","","2019","","美洲区域","女性","","11.82226","9.63764","14.35793","",
"因非传染性疾病过早死亡的概率","","2019","","欧洲区域","总计","","16.31766","12.72202","20.43849","",
"因非传染性疾病过早死亡的概率","","2019","","欧洲区域","男性","","21.73254","17.1193","26.89775","",
"因非传染性疾病过早死亡的概率","","2019","","欧洲区域","女性","","11.3388","8.74103","14.39524","",
"因非传染性疾病过早死亡的概率","","2019","","全球","总计","","17.78306","13.27575","23.07514","",
"因非传染性疾病过早死亡的概率","","2019","","全球","男性","","21.42136","16.2101","27.46308","",
"因非传染性疾病过早死亡的概率","","2019","","全球","女性","","14.17079","10.39327","18.66072","",
"因非传染性疾病过早死亡的概率","","2019","","西太平洋区域","总计","","15.57676","11.90922","19.74588","",
"因非传染性疾病过早死亡的概率","","2019","","西太平洋区域","男性","","19.9007","15.3117","25.00906","",
"因非传染性疾病过早死亡的概率","","2019","","西太平洋区域","女性","","11.07257","8.41207","14.17757","",
"因非传染性疾病过早死亡的概率","","2019","阿尔巴尼亚","欧洲区域","总计","","11.39601","7.29982","16.85685","",
"因非传染性疾病过早死亡的概率","","2019","阿尔巴尼亚","欧洲区域","男性","","16.68139","10.72818","24.46146","",
"因非传染性疾病过早死亡的概率","","2019","阿尔巴尼亚","欧洲区域","女性","","6.04557","3.90775","8.90147","",
"因非传染性疾病过早死亡的概率","","2019","阿尔及利亚","非洲区域","总计","","13.85875","8.91576","20.00592","",
"因非传染性疾病过早死亡的概率","","2019","阿尔及利亚","非洲区域","男性","","14.8553","9.49103","21.5009","",
"因非传染性疾病过早死亡的概率","","2019","阿尔及利亚","非洲区域","女性","","12.81713","8.31745","18.43383","",
"因非传染性疾病过早死亡的概率","","2019","阿富汗","东地中海区域","总计","","35.27428","21.77959","49.79874","",
"因非传染性疾病过早死亡的概率","","2019","阿富汗","东地中海区域","男性","","34.37412","21.87447","47.91983","",
"因非传染性疾病过早死亡的概率","","2019","阿富汗","东地中海区域","女性","","36.16185","21.67719","51.61544","",
"因非传染性疾病过早死亡的概率","","2019","阿根廷","美洲区域","总计","","15.72067","12.54862","19.36578","",
"因非传染性疾病过早死亡的概率","","2019","阿根廷","美洲区域","男性","","19.70748","16.03574","23.93634","",
"因非传染性疾病过早死亡的概率","","2019","阿根廷","美洲区域","女性","","12.13572","9.43548","15.2169","",
"因非传染性疾病过早死亡的概率","","2019","阿拉伯联合酋长国","东地中海区域","总计","","18.50345","10.54849","28.94601","",
"因非传染性疾病过早死亡的概率","","2019","阿拉伯联合酋长国","东地中海区域","男性","","19.80492","11.29757","30.90378","",
"因非传染性疾病过早死亡的概率","","2019","阿拉伯联合酋长国","东地中海区域","女性","","15.49265","8.86993","24.28275","",
"因非传染性疾病过早死亡的概率","","2019","阿拉伯叙利亚共和国","东地中海区域","总计","","22.11282","15.30319","30.58593","",
"因非传染性疾病过早死亡的概率","","2019","阿拉伯叙利亚共和国","东地中海区域","男性","","26.06569","18.25352","35.54442","",
"因非传染性疾病过早死亡的概率","","2019","阿拉伯叙利亚共和国","东地中海区域","女性","","18.30996","12.50734","25.71877","",
"因非传染性疾病过早死亡的概率","","2019","阿曼","东地中海区域","总计","","21.47854","15.36473","28.95624","",
"因非传染性疾病过早死亡的概率","","2019","阿曼","东地中海区域","男性","","22.46034","15.97678","30.46549","",
"因非传染性疾病过早死亡的概率","","2019","阿曼","东地中海区域","女性","","20.25928","14.75933","26.84254","",
"因非传染性疾病过早死亡的概率","","2019","阿塞拜疆","欧洲区域","总计","","27.20014","19.36969","36.60186","",
"因非传染性疾病过早死亡的概率","","2019","阿塞拜疆","欧洲区域","男性","","34.35508","24.92017","45.33945","",
"因非传染性疾病过早死亡的概率","","2019","阿塞拜疆","欧洲区域","女性","","20.41903","14.27206","27.96514","",
"因非传染性疾病过早死亡的概率","","2019","埃及","东地中海区域","总计","","28.03471","17.77958","40.35998","",
"因非传染性疾病过早死亡的概率","","2019","埃及","东地中海区域","男性","","32.73745","21.01744","46.75897","",
"因非传染性疾病过早死亡的概率","","2019","埃及","东地中海区域","女性","","23.21557","14.5493","33.51162","",
"因非传染性疾病过早死亡的概率","","2019","埃塞俄比亚","非洲区域","总计","","17.09935","11.29256","24.70396","",
"因非传染性疾病过早死亡的概率","","2019","埃塞俄比亚","非洲区域","男性","","17.3688","11.28587","25.43973","",
"因非传染性疾病过早死亡的概率","","2019","埃塞俄比亚","非洲区域","女性","","16.90312","11.33066","24.10922","",
"因非传染性疾病过早死亡的概率","","2019","爱尔兰","欧洲区域","总计","","9.65748","7.39992","12.3086","",
"因非传染性疾病过早死亡的概率","","2019","爱尔兰","欧洲区域","男性","","11.23266","8.7095","14.16993","",
"因非传染性疾病过早死亡的概率","","2019","爱尔兰","欧洲区域","女性","","8.10198","6.11082","10.46378","",
"因非传染性疾病过早死亡的概率","","2019","爱沙尼亚","欧洲区域","总计","","14.90192","9.83196","20.62044","",
"因非传染性疾病过早死亡的概率","","2019","爱沙尼亚","欧洲区域","男性","","22.09626","14.85795","29.92072","",
"因非传染性疾病过早死亡的概率","","2019","爱沙尼亚","欧洲区域","女性","","8.83945","5.71991","12.5146","",
"因非传染性疾病过早死亡的概率","","2019","安哥拉","非洲区域","总计","","22.24695","13.77637","32.83812","",
"因非传染性疾病过早死亡的概率","","2019","安哥拉","非洲区域","男性","","25.22424","16.10596","36.42551","",
"因非传染性疾病过早死亡的概率","","2019","安哥拉","非洲区域","女性","","19.38185","11.55873","29.33734","",
"因非传染性疾病过早死亡的概率","","2019","安提瓜和巴布达","美洲区域","总计","","17.54642","12.67217","23.19885","",
"因非传染性疾病过早死亡的概率","","2019","安提瓜和巴布达","美洲区域","男性","","17.50648","12.67291","23.26412","",
"因非传染性疾病过早死亡的概率","","2019","安提瓜和巴布达","美洲区域","女性","","17.57964","12.67002","23.14007","",
"因非传染性疾病过早死亡的概率","","2019","奥地利","欧洲区域","总计","","10.36782","8.25203","12.91779","",
"因非传染性疾病过早死亡的概率","","2019","奥地利","欧洲区域","男性","","12.93048","10.49343","15.94364","",
"因非传染性疾病过早死亡的概率","","2019","奥地利","欧洲区域","女性","","7.89751","6.10227","9.98131","",
"因非传染性疾病过早死亡的概率","","2019","澳大利亚","西太平洋区域","总计","","8.58537","6.73364","10.77368","",
"因非传染性疾病过早死亡的概率","","2019","澳大利亚","西太平洋区域","男性","","10.36163","8.1785","12.9442","",
"因非传染性疾病过早死亡的概率","","2019","澳大利亚","西太平洋区域","女性","","6.84083","5.32025","8.63112","",
"因非传染性疾病过早死亡的概率","","2019","巴巴多斯","美洲区域","总计","","15.95721","11.3792","21.27555","",
"因非传染性疾病过早死亡的概率","","2019","巴巴多斯","美洲区域","男性","","17.48307","12.51317","23.25211","",
"因非传染性疾病过早死亡的概率","","2019","巴巴多斯","美洲区域","女性","","14.60594","10.38099","19.51179","",
"因非传染性疾病过早死亡的概率","","2019","巴布亚新几内亚","西太平洋区域","总计","","35.95613","22.2695","51.49453","",
"因非传染性疾病过早死亡的概率","","2019","巴布亚新几内亚","西太平洋区域","男性","","40.2877","25.63262","56.36884","",
"因非传染性疾病过早死亡的概率","","2019","巴布亚新几内亚","西太平洋区域","女性","","31.61828","18.98846","46.44393","",
"因非传染性疾病过早死亡的概率","","2019","巴哈马","美洲区域","总计","","19.89816","14.42223","26.42556","",
"因非传染性疾病过早死亡的概率","","2019","巴哈马","美洲区域","男性","","23.57082","17.20335","31.01537","",
"因非传染性疾病过早死亡的概率","","2019","巴哈马","美洲区域","女性","","16.63826","11.98478","22.28553","",
"因非传染性疾病过早死亡的概率","","2019","巴基斯坦","东地中海区域","总计","","29.41299","20.42164","40.02167","",
"因非传染性疾病过早死亡的概率","","2019","巴基斯坦","东地中海区域","男性","","31.8369","22.18884","43.14693","",
"因非传染性疾病过早死亡的概率","","2019","巴基斯坦","东地中海区域","女性","","26.8502","18.57505","36.65855","",
"因非传染性疾病过早死亡的概率","","2019","巴拉圭","美洲区域","总计","","16.02444","10.61003","22.88916","",
"因非传染性疾病过早死亡的概率","","2019","巴拉圭","美洲区域","男性","","18.64725","12.40962","26.51913","",
"因非传染性疾病过早死亡的概率","","2019","巴拉圭","美洲区域","女性","","13.2834","8.75069","19.03271","",
"因非传染性疾病过早死亡的概率","","2019","巴林","东地中海区域","总计","","16.05922","11.06296","22.2035","",
"因非传染性疾病过早死亡的概率","","2019","巴林","东地中海区域","男性","","16.38267","11.24283","22.80809","",
"因非传染性疾病过早死亡的概率","","2019","巴林","东地中海区域","女性","","15.4298","10.68617","21.10747","",
"因非传染性疾病过早死亡的概率","","2019","巴拿马","美洲区域","总计","","10.6979","7.23688","15.03853","",
"因非传染性疾病过早死亡的概率","","2019","巴拿马","美洲区域","男性","","12.68","8.58011","17.76716","",
"因非传染性疾病过早死亡的概率","","2019","巴拿马","美洲区域","女性","","8.81316","5.9708","12.41712","",
"因非传染性疾病过早死亡的概率","","2019","巴西","美洲区域","总计","","15.49638","13.87964","17.43299","",
"因非传染性疾病过早死亡的概率","","2019","巴西","美洲区域","男性","","18.64404","16.79888","20.86537","",
"因非传染性疾病过早死亡的概率","","2019","巴西","美洲区域","女性","","12.65531","11.2542","14.32329","",
"因非传染性疾病过早死亡的概率","","2019","白俄罗斯","欧洲区域","总计","","23.75091","17.23874","31.85496","",
"因非传染性疾病过早死亡的概率","","2019","白俄罗斯","欧洲区域","男性","","35.70079","26.6897","46.07993","",
"因非传染性疾病过早死亡的概率","","2019","白俄罗斯","欧洲区域","女性","","13.56404","9.53142","19.04346","",
"因非传染性疾病过早死亡的概率","","2019","保加利亚","欧洲区域","总计","","24.15713","17.40608","31.64805","",
"因非传染性疾病过早死亡的概率","","2019","保加利亚","欧洲区域","男性","","32.14942","23.61238","41.2018","",
"因非传染性疾病过早死亡的概率","","2019","保加利亚","欧洲区域","女性","","16.38867","11.55571","22.01834","",
"因非传染性疾病过早死亡的概率","","2019","北马其顿","欧洲区域","总计","","22.73179","15.87279","30.83595","",
"因非传染性疾病过早死亡的概率","","2019","北马其顿","欧洲区域","男性","","27.89177","19.68516","37.33623","",
"因非传染性疾病过早死亡的概率","","2019","北马其顿","欧洲区域","女性","","17.4771","12.0781","24.02567","",
"因非传染性疾病过早死亡的概率","","2019","贝宁","非洲区域","总计","","22.62415","14.02641","33.37122","",
"因非传染性疾病过早死亡的概率","","2019","贝宁","非洲区域","男性","","24.48938","15.15461","36.13172","",
"因非传染性疾病过早死亡的概率","","2019","贝宁","非洲区域","女性","","20.95486","13.03277","30.85258","",
"因非传染性疾病过早死亡的概率","","2019","比利时","欧洲区域","总计","","10.56445","8.38511","13.12799","",
"因非传染性疾病过早死亡的概率","","2019","比利时","欧洲区域","男性","","12.97318","10.48574","15.96564","",
"因非传染性疾病过早死亡的概率","","2019","比利时","欧洲区域","女性","","8.18572","6.31904","10.30912","",
"因非传染性疾病过早死亡的概率","","2019","冰岛","欧洲区域","总计","","8.65321","6.62147","11.07134","",
"因非传染性疾病过早死亡的概率","","2019","冰岛","欧洲区域","男性","","10.24332","7.99469","12.89512","",
"因非传染性疾病过早死亡的概率","","2019","冰岛","欧洲区域","女性","","7.03302","5.22613","9.20704","",
"因非传染性疾病过早死亡的概率","","2019","波兰","欧洲区域","总计","","16.97474","13.03395","21.45325","",
"因非传染性疾病过早死亡的概率","","2019","波兰","欧洲区域","男性","","22.80641","17.59581","28.52475","",
"因非传染性疾病过早死亡的概率","","2019","波兰","欧洲区域","女性","","11.51932","8.8421","14.7059","",
"因非传染性疾病过早死亡的概率","","2019","波斯尼亚和黑塞哥维那","欧洲区域","总计","","18.71701","13.06494","25.63667","",
"因非传染性疾病过早死亡的概率","","2019","波斯尼亚和黑塞哥维那","欧洲区域","男性","","23.95483","16.92196","32.38901","",
"因非传染性疾病过早死亡的概率","","2019","波斯尼亚和黑塞哥维那","欧洲区域","女性","","13.6442","9.40537","18.91625","",
"因非传染性疾病过早死亡的概率","","2019","玻利维亚（多民族国）","美洲区域","总计","","17.88433","10.39345","27.45404","",
"因非传染性疾病过早死亡的概率","","2019","玻利维亚（多民族国）","美洲区域","男性","","17.45573","10.02911","26.91154","",
"因非传染性疾病过早死亡的概率","","2019","玻利维亚（多民族国）","美洲区域","女性","","18.32423","10.75815","28.01564","",
"因非传染性疾病过早死亡的概率","","2019","伯利兹","美洲区域","总计","","16.46762","12.33356","21.31024","",
"因非传染性疾病过早死亡的概率","","2019","伯利兹","美洲区域","男性","","18.5173","13.86104","23.94097","",
"因非传染性疾病过早死亡的概率","","2019","伯利兹","美洲区域","女性","","14.32824","10.74909","18.54149","",
"因非传染性疾病过早死亡的概率","","2019","博茨瓦纳","非洲区域","总计","","27.0326","16.10268","40.20833","",
"因非传染性疾病过早死亡的概率","","2019","博茨瓦纳","非洲区域","男性","","32.67685","20.60512","46.33305","",
"因非传染性疾病过早死亡的概率","","2019","博茨瓦纳","非洲区域","女性","","22.65624","12.69036","35.31821","",
"因非传染性疾病过早死亡的概率","","2019","不丹","东南亚区域","总计","","18.45957","10.72131","29.03439","",
"因非传染性疾病过早死亡的概率","","2019","不丹","东南亚区域","男性","","19.57084","11.21679","31.25349","",
"因非传染性疾病过早死亡的概率","","2019","不丹","东南亚区域","女性","","17.15119","10.14264","26.36863","",
"因非传染性疾病过早死亡的概率","","2019","布基纳法索","非洲区域","总计","","23.93053","15.20022","34.42818","",
"因非传染性疾病过早死亡的概率","","2019","布基纳法索","非洲区域","男性","","26.3973","16.98331","37.55603","",
"因非传染性疾病过早死亡的概率","","2019","布基纳法索","非洲区域","女性","","22.08354","13.89401","32.03286","",
"因非传染性疾病过早死亡的概率","","2019","布隆迪","非洲区域","总计","","24.96597","14.67586","38.32574","",
"因非传染性疾病过早死亡的概率","","2019","布隆迪","非洲区域","男性","","26.89445","16.00078","41.15257","",
"因非传染性疾病过早死亡的概率","","2019","布隆迪","非洲区域","女性","","23.21963","13.48623","35.71822","",
"因非传染性疾病过早死亡的概率","","2019","朝鲜民主主义人民共和国","东南亚区域","总计","","23.93753","15.69958","33.57068","",
"因非传染性疾病过早死亡的概率","","2019","朝鲜民主主义人民共和国","东南亚区域","男性","","29.83736","20.11362","40.69833","",
"因非传染性疾病过早死亡的概率","","2019","朝鲜民主主义人民共和国","东南亚区域","女性","","18.62924","11.85735","26.89525","",
"因非传染性疾病过早死亡的概率","","2019","赤道几内亚","非洲区域","总计","","22.13812","11.62899","36.39415","",
"因非传染性疾病过早死亡的概率","","2019","赤道几内亚","非洲区域","男性","","22.0765","12.02078","34.95885","",
"因非传染性疾病过早死亡的概率","","2019","赤道几内亚","非洲区域","女性","","22.77886","11.49425","38.78746","",
"因非传染性疾病过早死亡的概率","","2019","大不列颠及北爱尔兰联合王国","欧洲区域","总计","","10.29892","9.29344","11.20679","",
"因非传染性疾病过早死亡的概率","","2019","大不列颠及北爱尔兰联合王国","欧洲区域","男性","","12.10377","11.05315","13.12239","",
"因非传染性疾病过早死亡的概率","","2019","大不列颠及北爱尔兰联合王国","欧洲区域","女性","","8.53109","7.57157","9.32803","",
"因非传染性疾病过早死亡的概率","","2019","大韩民国","西太平洋区域","总计","","7.26556","5.26071","9.85902","",
"因非传染性疾病过早死亡的概率","","2019","大韩民国","西太平洋区域","男性","","10.12365","7.38268","13.71024","",
"因非传染性疾病过早死亡的概率","","2019","大韩民国","西太平洋区域","女性","","4.43537","3.18111","5.99029","",
"因非传染性疾病过早死亡的概率","","2019","丹麦","欧洲区域","总计","","10.77049","8.25765","13.54138","",
"因非传染性疾病过早死亡的概率","","2019","丹麦","欧洲区域","男性","","12.56388","9.8065","15.6843","",
"因非传染性疾病过早死亡的概率","","2019","丹麦","欧洲区域","女性","","9.00499","6.73879","11.42085","",
"因非传染性疾病过早死亡的概率","","2019","德国","欧洲区域","总计","","12.05419","9.64385","14.80829","",
"因非传染性疾病过早死亡的概率","","2019","德国","欧洲区域","男性","","15.16285","12.31587","18.43713","",
"因非传染性疾病过早死亡的概率","","2019","德国","欧洲区域","女性","","9.0062","7.0406","11.22294","",
"因非传染性疾病过早死亡的概率","","2019","东帝汶","东南亚区域","总计","","19.94579","11.25154","30.28357","",
"因非传染性疾病过早死亡的概率","","2019","东帝汶","东南亚区域","男性","","21.49211","11.56432","33.28431","",
"因非传染性疾病过早死亡的概率","","2019","东帝汶","东南亚区域","女性","","18.40546","10.95712","27.20984","",
"因非传染性疾病过早死亡的概率","","2019","多哥","非洲区域","总计","","23.85005","14.74097","35.11126","",
"因非传染性疾病过早死亡的概率","","2019","多哥","非洲区域","男性","","26.75047","16.65045","39.04561","",
"因非传染性疾病过早死亡的概率","","2019","多哥","非洲区域","女性","","21.17334","13.00973","31.39457","",
"因非传染性疾病过早死亡的概率","","2019","多米尼加","美洲区域","总计","","19.13208","12.09434","28.00739","",
"因非传染性疾病过早死亡的概率","","2019","多米尼加","美洲区域","男性","","22.12487","14.06095","32.12916","",
"因非传染性疾病过早死亡的概率","","2019","多米尼加","美洲区域","女性","","16.22097","10.20952","23.91589","",
"因非传染性疾病过早死亡的概率","","2019","俄罗斯联邦","欧洲区域","总计","","24.20199","19.45625","29.1595","",
